###Total Requests###,,,,,,,,,,
Type,Requests,% of Total,,,,,,,,
Blocked,0,0,,,,,,,,
Allowed,"3,130,922",100,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Allowed Requests###,,,,,,,,,,
User,Requests,% of Total,,,,,,,,
10.8.8.169,"617,886",39.03,,,,,,,,
user1 ,"218,251",13.79,,,,,,,,
10.8.7.2,"172,290",10.88,,,,,,,,
10.8.8.245,"138,775",8.77,,,,,,,,
10.8.168.10,"136,952",8.65,,,,,,,,
10.8.8.50,"101,267",6.4,,,,,,,,
10.8.8.155,"53,147",3.36,,,,,,,,
10.8.8.152,"51,752",3.27,,,,,,,,
10.8.8.128,"48,175",3.04,,,,,,,,
10.8.8.97,"44,751",2.83,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Blocked Requests###,,,,,,,,,,
No matching log data for this report,,,,,,,,,,
,,,,,,,,,,
###Requests Summary###,,,,,,,,,,
Time Stamp,Allowed Request,Blocked Request,,,,,,,,
1675713600,38828463,767015865,,,,,,,,
1675717200,35046204,661830303,,,,,,,,
1675720800,64369788,1928417828,,,,,,,,
1675724400,46881012,1011056312,,,,,,,,
1675728000,301142627,2264210987,,,,,,,,
1675731600,631726799,6192006721,,,,,,,,
1675735200,1153461370,8093190784,,,,,,,,
1675738800,1880500106,12921347289,,,,,,,,
1675742400,926896004,21778720117,,,,,,,,
1675746000,197759526,2766562702,,,,,,,,
1675749600,954048881,5121853728,,,,,,,,
1675753200,1123274195,3883340850,,,,,,,,
1675756800,805942348,12199130110,,,,,,,,
1675760400,1279125677,12250371700,,,,,,,,
1675764000,305444139,3256641370,,,,,,,,
1675767600,91403263,2788163587,,,,,,,,
1675771200,33772504,485870716,,,,,,,,
1675774800,38767505,684103687,,,,,,,,
1675778400,40262021,705340726,,,,,,,,
1675782000,42363126,939981689,,,,,,,,
1675785600,57881883,1425341889,,,,,,,,
1675789200,62277750,1619878550,,,,,,,,
1675792800,275838543,912453019,,,,,,,,
1675796400,62101101,2042099055,,,,,,,,
1675800000,45254210,971232327,,,,,,,,
1675803600,46553447,1169361378,,,,,,,,
1675807200,62816579,1764191867,,,,,,,,
1675810800,57181094,1324221038,,,,,,,,
1675814400,198480550,4162553528,,,,,,,,
1675818000,684671077,14070792331,,,,,,,,
1675821600,523436644,12416083318,,,,,,,,
1675825200,744026290,10432881892,,,,,,,,
1675828800,562476775,4586734806,,,,,,,,
1675832400,296028462,5377630845,,,,,,,,
1675836000,1089694085,7457750047,,,,,,,,
1675839600,1301916376,5223236821,,,,,,,,
1675843200,725732866,5009030809,,,,,,,,
1675846800,453720758,3362786239,,,,,,,,
1675850400,699765739,10713290335,,,,,,,,
1675854000,115493759,717974052,,,,,,,,
1675857600,80520710,399315790,,,,,,,,
1675861200,81561654,632923234,,,,,,,,
1675864800,88658999,590465573,,,,,,,,
1675868400,90173781,692701044,,,,,,,,
1675872000,106539396,1438808330,,,,,,,,
1675875600,101887247,1282863999,,,,,,,,
1675879200,86001315,586484095,,,,,,,,
1675882800,90138415,893196793,,,,,,,,
1675886400,92836706,913101956,,,,,,,,
1675890000,141735695,3576232778,,,,,,,,
1675893600,111875815,1887205752,,,,,,,,
1675897200,112216312,2033846899,,,,,,,,
1675900800,3498150192,3185178463,,,,,,,,
1675904400,727527120,6188645206,,,,,,,,
1675908000,1027395307,5993631424,,,,,,,,
